6.830379	201	2
4.418193	217	3
11.814347	214	2
15.500756	226	2
2.095191	222	1
16.249467	211	2
-3.358491	221	1
6.722594	215	1
11.589932	216	2
8.258244	222	1
43.220011	214	7
21.688110	219	1
6.866307	209	1
6.078897	212	1
5.611495	216	2
-3.753510	216	1
13.516624	219	2
-3.570447	216	1
15.373416	207	2
5.679568	215	1
11.650523	221	2
8.499837	223	2
4.890956	213	2
11.880912	207	2
26.681537	218	5
37.598779	212	4
11.982325	204	1
9.924882	216	2
5.218818	200	1
10.943073	213	2
31.155357	224	6
16.288579	216	3
9.236561	210	2
10.596577	209	2
18.897816	203	3
23.528137	213	1
-1.965951	219	1
6.320959	234	1
34.780427	213	6
18.026887	222	2
-3.807012	207	1
8.028299	212	1
24.083596	207	2
12.163659	216	2
6.086090	206	1
0.557969	215	1
13.782924	211	3
14.720926	215	2
27.293880	224	2
6.856746	222	1
0.171605	217	1
5.198744	215	1
-2.072000	205	1
12.985631	218	4
11.876722	212	2
4.247150	206	1
-3.697512	207	1
7.929159	214	2
-5.486620	209	1
12.372830	211	1
19.314965	217	4
-0.194108	213	2
4.901917	211	1
10.306820	210	1
19.611641	225	4
-0.903073	210	1
10.616383	206	2
10.550025	208	1
-1.441270	210	1
11.836578	225	2
41.342058	232	9
7.597134	214	3
7.002983	213	1
7.358607	219	1
3.453343	214	3
5.111597	216	1
8.965953	216	1
33.045415	217	3
45.596495	215	6
13.205146	214	2
13.454191	212	2
2.862114	208	1
7.394890	194	1
15.150169	215	2
-2.833930	216	1
11.584298	220	2
60.379947	216	5
14.875966	220	4
2.836481	218	1
1.927332	220	1
21.479764	213	4
17.283596	212	1
22.376080	202	4
7.911837	211	2
7.737306	210	2
13.716874	203	2
16.232113	212	4
15.356551	222	2
32.650439	211	5
6.710676	213	1
5.215347	210	1
6.250220	204	1
-1.351688	216	1
35.858214	213	6
10.180786	207	2
6.408649	206	2
11.875057	208	1
13.426952	215	4
4.913798	216	1
0.880685	216	2
4.599775	222	2
4.030334	222	2
12.335094	214	1
12.548040	218	3
15.612262	193	1
20.203467	221	3
10.898128	210	3
13.268128	201	2
11.122509	212	2
12.419536	205	4
25.066228	217	4
4.047450	224	2
8.043998	220	2
12.931242	212	2
5.870581	217	2
7.827470	201	2
1.425802	214	1
24.127638	211	6
-0.104210	209	1
13.616695	215	2
17.802258	210	2
15.686650	204	3
14.650756	215	2
23.849584	213	4
1.697313	208	1
12.174560	200	3
-2.355309	211	1
9.546972	214	3
31.977260	215	7
10.631548	224	2
6.367674	204	1
13.024102	212	2
9.777057	214	2
-8.569777	212	1
2.149316	213	1
10.535370	213	2
13.915987	219	2
8.889543	208	2
2.176915	225	1
6.651575	213	2
5.693537	220	2
26.194910	223	3
14.487251	207	3
14.360817	215	3
35.082608	205	7
16.420925	224	1
2.080140	218	1
-4.902909	218	1
-5.640036	222	1
6.170960	205	1
3.414435	219	1
38.520259	211	3
-4.801200	202	1
7.691328	210	1
-0.609494	217	1
