1	7.909986	32	2
2	36.184788	59	4
3	80.613018	87	6
4	138.527453	113	7
5	198.915161	132	10
6	263.669692	141	13
7	333.654811	152	15
8	392.168282	166	15
9	458.564367	173	18
10	541.526863	192	20
11	602.737249	206	21
12	651.400627	219	21
13	713.254689	236	22
14	787.532022	247	24
15	871.361923	253	27
16	949.380371	262	29
17	1004.781033	270	30
18	1072.509285	273	31
19	1136.335789	280	33
20	1173.832634	286	32
21	1202.864523	299	31
22	1267.213010	304	33
23	1339.545197	315	36
24	1401.070096	330	38
25	1450.568844	333	40
26	1502.378384	344	41
27	1559.561117	355	44
28	1603.967015	368	44
29	1638.818888	374	47
30	1663.538898	381	48
31	1680.318954	404	53
32	1693.043540	438	64
33	1704.300841	463	69
