35.330017	152	10
120.996859	162	19
106.050006	175	17
137.897052	148	12
90.493748	172	10
136.463944	155	14
90.856594	141	9
146.591809	166	20
148.747672	142	17
92.791250	173	12
184.704378	156	25
142.335215	139	17
148.503326	173	21
85.162269	170	14
102.845037	159	17
59.068369	155	8
104.888917	155	14
110.122522	171	19
80.668795	167	11
91.686447	142	16
134.358525	153	16
215.047892	136	20
98.234413	180	9
148.567425	180	19
67.836155	162	11
98.558271	171	15
179.060775	169	19
185.931502	153	23
127.098596	161	20
185.288231	137	20
52.887177	164	8
97.326178	135	14
85.997822	174	13
240.014030	152	18
134.072870	140	16
153.038532	175	23
173.100084	160	18
204.537265	166	21
180.112710	161	20
126.208376	145	20
187.957918	160	20
156.289793	151	20
70.136587	148	9
124.382200	141	15
111.187703	159	15
135.629568	186	18
97.032179	152	12
141.826591	160	16
166.710392	141	21
164.811655	145	20
87.795706	165	13
297.613641	124	23
101.621440	168	11
114.828965	148	15
85.006692	143	11
159.757404	166	18
94.854589	164	15
248.631667	158	26
83.613033	179	11
173.182385	164	20
54.612153	179	9
166.830027	147	19
59.993524	150	11
122.572495	143	18
174.097592	128	22
159.833897	159	18
132.745626	140	12
180.334468	149	16
143.804011	153	12
118.617837	162	11
154.750917	166	18
143.690699	152	16
121.981396	163	14
137.539427	159	13
103.498583	181	12
98.872499	167	13
68.540498	160	9
127.974046	161	15
136.260320	163	20
153.189814	159	19
95.404229	150	9
97.671031	171	13
101.623711	146	15
111.627727	135	14
134.859110	149	17
72.241485	150	14
169.362377	164	19
191.406243	166	18
204.512964	148	16
171.308170	157	25
205.110077	142	21
127.140835	168	17
119.286590	166	15
90.719795	177	14
132.490278	160	20
137.359086	141	18
192.110164	164	17
139.140497	150	13
257.294994	163	27
134.388701	167	16
78.939539	167	15
55.186575	148	6
39.945064	159	9
141.733508	183	19
151.034381	161	15
204.718278	162	17
260.661541	121	24
96.016490	151	13
243.528590	125	22
119.004059	170	16
76.465190	170	13
126.561511	156	21
220.868916	130	19
64.437665	165	13
221.213113	168	21
257.673113	161	23
298.732835	128	18
162.120627	170	22
130.989255	153	12
136.014863	163	17
166.945361	160	21
128.388389	149	17
174.607624	164	21
164.259147	147	19
166.132945	178	17
153.551685	167	16
114.107264	156	16
85.354797	157	10
146.576721	162	16
57.194244	140	11
55.855802	148	9
239.376939	167	21
130.689092	170	16
151.027407	166	14
153.620532	161	20
103.879066	143	15
