-812158.4658528598	  inf
-572242.0019124645	2.95406e-01
-555529.7443755143	2.92049e-02
-552717.1015111142	5.06299e-03
-551308.3803555320	2.54872e-03
-550346.1831877917	1.74530e-03
-549525.9130299791	1.49046e-03
-548909.4068286613	1.12189e-03
-548453.9579559461	8.29734e-04
-548074.5321761388	6.91810e-04
-547758.8291784801	5.76022e-04
-547506.4945282028	4.60667e-04
-547299.1294261211	3.78745e-04
-547134.3689852222	3.01043e-04
-546987.1511228171	2.69071e-04
-546855.8212902327	2.40097e-04
-546727.4118513406	2.34814e-04
-546605.2915003640	2.23366e-04
-546490.3496423527	2.10283e-04
-546386.3437833685	1.90316e-04
